index,training_name,training_index
1,Agility Ladder1.jp,Agility Ladder1
2,Agility Ladder2.jp,Agility Ladder2
3,Agility Ladder3.jp,Agility Ladder3
4,Agility Ladder4.jp,Agility Ladder4
5,Agility Ladder5.jp,Agility Ladder5
6,Anti-rotation Reverse Lunge,1
7,Anti-rotation Reverse Lunge,2
8,Asynchronous Waves,1
9,Asynchronous Waves,2
10,Barbell Jammers,1
11,Barbell Jammers,2
12,Barbell Jammers,3
13,Barbell Jammers,4
14,Barbell Jammers,5
15,Barbell Jammers,6
16,Bear Crawl Exercise,1
17,Bear Crawl Exercise,2
18,Bear Crawl Exercise,3
19,Bottom-up Press,1
20,Bottom-up Press,2
21,Burpee,1
22,Burpee,2
23,Burpee,3
24,Burpee,4
25,Clean and Press,1
26,Clean and Press,2
27,Clean and Press,3
28,Clean and Press,4
29,Deadlift,1
30,Deadlift,2
31,Double Push-press,1
32,Double Push-press,2
33,Double Push-press,3
34,Double Rotation Waves,1
35,Double Rotation Waves,2
36,Double Rotation Waves,3
37,Downward-facing Dog,1
38,Downward-facing Dog,2
39,Downward-facing Dog,3
40,Downward-facing Dog,4
41,Farmer's Carry,1
42,Farmer's Carry,2
43,Figure Eight,1
44,Figure Eight,2
45,Forward Linear Jumps,1
46,Forward Linear Jumps,2
47,Forward Linear Jumps,3
48,Forward Linear Jumps,4
49,Forward Linear Jumps,5
50,Forward Linear Jumps,6
51,Forward Linear Ladder Drill,1
52,Forward Linear Ladder Drill,2
53,Forward Linear Ladder Drill,3
54,Forward Linear Ladder Drill,4
55,Forward Linear Ladder Drill,5
56,Front Squat to Overhead Press,1
57,Front Squat to Overhead Press,2
58,Front Squat to Overhead Press,3
59,Front Squat,1
60,Front Squat,2
61,Front Squat,3
62,Half Turkish Get-up,1
63,Half Turkish Get-up,2
64,Half Turkish Get-up,3
65,Half Turkish Get-up,4
66,Halo,1
67,Halo,2
68,Halo,3
69,Hang Clean,1
70,Hang Clean,2
71,Hang Clean,3
72,Hang Clean,4
73,Hang Clean,5
74,Hexagon Drill,1
75,Hexagon Drill,2
76,Hexagon Drill,3
77,Hexagon Drill,4
78,Hexagon Drill,5
79,High Windmill,1
80,High Windmill,2
81,High-low Partner See-saw,1
82,High-low Partner See-saw,2
83,Inchworms,1
84,Inchworms,2
85,Inchworms,3
86,Inchworms,4
87,Inchworms,5
88,Inverted Flyers,1
89,Inverted Flyers,2
90,Inverted Flyers,3
91,Inverted Flyers,4
92,Inverted Flyers,5
93,Kneeling Hay Baler,1
94,Kneeling Hay Baler,2
95,Kneeling Hay Baler,3
96,Kneeling Wood Chop,1
97,Kneeling Wood Chop,2
98,Kneeling Wood Chop,3
99,Lateral Crawls,1
100,Lateral Crawls,2
101,Lateral Crawls,3
102,Lateral Hurdle Run,1
103,Lateral Hurdle Run,2
104,Lateral Hurdle Run,3
105,Lateral Lunge Wood Chop,1
106,Lateral Lunge Wood Chop,2
107,Lateral Waves,1
108,Lateral Waves,2
109,Low Windmill,1
110,Low Windmill,2
111,Lunge to Single Arm Row,1
112,Lunge to Single Arm Row,2
113,Lunge with Elbow Instep,1
114,Lunge with Elbow Instep,2
115,Lunge with Elbow Instep,3
116,Lunge with Elbow Instep,4
117,Lunge with Elbow Instep,5
118,Lunge with Overhead Press,1
119,Lunge with Overhead Press,2
120,Lunge with Overhead Press,3
121,Lunge with Overhead Press,4
122,Medicine Ball Lunge to Chest Pass,1
123,Medicine Ball Lunge to Chest Pass,2
124,Medicine Ball Lunge to Chest Pass,3
125,Medicine Ball Lunge to Chest Pass,4
126,Medicine Ball Lunge to Chest Pass,5
127,Mountain Climbers,1
128,Mountain Climbers,2
129,Mountain Climbers,3
130,Multidirectional Ladder Drill,1
131,Multidirectional Ladder Drill,2
132,Multidirectional Ladder Drill,3
133,Multidirectional Ladder Drill,4
134,Multidirectional Ladder Drill,5
135,Multidirectional Ladder Drill,6
136,Offset Single-arm Chest Press,1
137,Offset Single-arm Chest Press,2
138,Overhead Medicine Ball Throws,1
139,Overhead Medicine Ball Throws,2
140,Overhead Medicine Ball Throws,3
141,Overhead Slams,1
142,Overhead Slams,2
143,Overhead Slams,3
144,Overhead Slams,4
145,Power Clean,1
146,Power Clean,2
147,Power Clean,3
148,Prone Runner,1
149,Prone Runner,2
150,Pull to Press,1
151,Pull to Press,2
152,Pull to Press,3
153,Push Jerk,1
154,Push Jerk,2
155,Push Jerk,3
156,Push Press,1
157,Push Press,2
158,Push-jerk,1
159,Push-jerk,2
160,Push-jerk,3
161,Push-up with Single-leg Raise,1
162,Push-up with Single-leg Raise,2
163,Push-up with Single-leg Raise,3
164,Renegade Row,1
165,Renegade Row,2
166,Renegade Row,3
167,Reverse Lunge with Rotation,1
168,Reverse Lunge with Rotation,2
169,Reverse Lunge with Rotation,3
