index,training_name,training_index
1,Agility Ladde,Agility Ladder
2,Alternate Leg Push-off,1
3,Alternate Leg Push-off,2
4,Alternate Leg Push-off,3
5,Ankle Flexion,1
6,Ankle Flexion,2
7,Barbell Jammers,1
8,Barbell Jammers,2
9,Barbell Jammers,3
10,Barbell Jammers,4
11,Barbell Jammers,5
12,Barbell Jammers,6
13,Bodyweight Squat,1
14,Bodyweight Squat,2
15,Bodyweight Squat,3
16,Bodyweight Squat,4
17,Box Jumps,1
18,Box Jumps,2
19,Box Jumps,3
20,Box Jumps,4
21,Box Jumps,5
22,Calf Raise,1
23,Calf Raise,2
24,Calf Raises,1
25,Calf Raises,2
26,Cycled Split-Squat Jump,1
27,Cycled Split-Squat Jump,2
28,Cycled Split-Squat Jump,3
29,Cycled Split-Squat Jump,4
30,Downward-facing Dog,1
31,Downward-facing Dog,2
32,Downward-facing Dog,3
33,Downward-facing Dog,4
34,Forward Hurdle Run,1
35,Forward Hurdle Run,2
36,Forward Hurdle Run,3
37,Forward Linear Jumps,1
38,Forward Linear Jumps,2
39,Forward Linear Jumps,3
40,Forward Linear Jumps,4
41,Forward Linear Jumps,5
42,Forward Linear Jumps,6
43,Jump and Reach,1
44,Jump and Reach,2
45,Jump and Reach,3
46,Lateral Cone Jumps,1
47,Lateral Cone Jumps,2
48,Lateral Cone Jumps,3
49,Lateral Cone Jumps,4
50,Lateral Cone Jumps,5
51,Lateral Cone Jumps,6
52,Lateral Cone Jumps,7
53,Lateral Hurdle Run,1
54,Lateral Hurdle Run,2
55,Lateral Hurdle Run,3
56,Lateral Zig Zags,1
57,Lateral Zig Zags,2
58,Lateral Zig Zags,3
59,Lateral Zig Zags,4
60,Lateral Zig Zags,5
61,Seated Calf Stretch,1
62,Seated Calf Stretch,2
63,Seated Toe Touches,1
64,Seated Toe Touches,2
65,Seated Toe Touches,3
66,Single Leg Push-off,1
67,Single Leg Push-off,2
68,Single Leg Push-off,3
69,Single Leg Push-off,4
70,Single Leg Squat,1
71,Single Leg Squat,2
72,Single Leg Squat,3
73,Single Leg Squat,4
74,Single Leg Squat,5
75,Single Leg Squat,6
76,Step Stretch,1
77,Step Stretch,2
78,Supine Hamstrings Stretch,1
79,Supine Hamstrings Stretch,2
80,TRX ¢ç Assisted Side Lunge with Arm Raise,1
81,TRX ¢ç Assisted Side Lunge with Arm Raise,2
82,TRX ¢ç Assisted Side Lunge with Arm Raise,3
