index,training_name,training_index
1,Agility Ladde,Agility Ladder
2,Alternate Leg Push-off,1
3,Alternate Leg Push-off,2
4,Alternate Leg Push-off,3
5,Back Squat,1
6,Back Squat,2
7,Barbell Jammers,1
8,Barbell Jammers,2
9,Barbell Jammers,3
10,Barbell Jammers,4
11,Barbell Jammers,5
12,Barbell Jammers,6
13,Bodyweight Squat,1
14,Bodyweight Squat,2
15,Bodyweight Squat,3
16,Bodyweight Squat,4
17,BOSU¢ç Lateral Jumps,1
18,BOSU¢ç Lateral Jumps,2
19,BOSU¢ç Lateral Jumps,3
20,BOSU¢ç Lateral Jumps,4
21,BOSU¢ç Lateral Jumps,5
22,BOSU¢ç Squat Jumps,1
23,BOSU¢ç Squat Jumps,2
24,BOSU¢ç Squat Jumps,3
25,BOSU¢ç Squat Jumps,4
26,Box Jumps,1
27,Box Jumps,2
28,Box Jumps,3
29,Box Jumps,4
30,Box Jumps,5
31,Childs Pose,1
32,Cycled Split-Squat Jump,1
33,Cycled Split-Squat Jump,2
34,Cycled Split-Squat Jump,3
35,Cycled Split-Squat Jump,4
36,Downward-facing Dog,1
37,Downward-facing Dog,2
38,Downward-facing Dog,3
39,Downward-facing Dog,4
40,Forward Cone Jumps,1
41,Forward Cone Jumps,10
42,Forward Cone Jumps,11
43,Forward Cone Jumps,12
44,Forward Cone Jumps,2
45,Forward Cone Jumps,3
46,Forward Cone Jumps,4
47,Forward Cone Jumps,5
48,Forward Cone Jumps,6
49,Forward Cone Jumps,7
50,Forward Cone Jumps,8
51,Forward Cone Jumps,9
52,Forward Linear Jumps,1
53,Forward Linear Jumps,2
54,Forward Linear Jumps,3
55,Forward Linear Jumps,4
56,Forward Linear Jumps,5
57,Forward Linear Jumps,6
58,Forward Lunge with Arm Drivers,1
59,Forward Lunge with Arm Drivers,2
60,Forward Lunge,1
61,Forward Lunge,2
62,Front Squat,1
63,Front Squat,2
64,Front Squat,3
65,Glute Activation Lunges,1
66,Glute Activation Lunges,2
67,Glute Activation Lunges,3
68,Glute Activation Lunges,4
69,Glute Activation Lunges,5
70,Glute Bridge Single Leg Progression,1
71,Glute Bridge Single Leg Progression,2
72,Glute Bridge,1
73,Glute Bridge,2
74,Goblet Squat,1
75,Goblet Squat,2
76,Halo,1
77,Halo,2
78,Halo,3
79,Hexagon Drill,1
80,Hexagon Drill,2
81,Hexagon Drill,3
82,Hexagon Drill,4
83,Hexagon Drill,5
84,Hip Hinge,1
85,Hip Hinge,2
