index,training_name,training_index
1,Barbell Jammers,1
2,Barbell Jammers,2
3,Barbell Jammers,3
4,Barbell Jammers,4
5,Barbell Jammers,5
6,Barbell Jammers,6
7,Bird-dog,1
8,Bird-dog,2
9,Bird-dog,3
10,Bodyweight Squat,1
11,Bodyweight Squat,2
12,Bodyweight Squat,3
13,Bodyweight Squat,4
14,BOSU¢ç Lateral Jumps,1
15,BOSU¢ç Lateral Jumps,2
16,BOSU¢ç Lateral Jumps,3
17,BOSU¢ç Lateral Jumps,4
18,BOSU¢ç Lateral Jumps,5
19,BOSU¢ç Squat Jumps,1
20,BOSU¢ç Squat Jumps,2
21,BOSU¢ç Squat Jumps,3
22,BOSU¢ç Squat Jumps,4
23,Childs Pose,1
24,Cobra Exercise,1
25,Cobra Exercise,2
26,Cobra Exercise,3
27,Crunch,1
28,Crunch,2
29,Decline Plank,1
30,Dirty Dog,1
31,Dirty Dog,2
32,Forward Lunge with Arm Drivers,1
33,Forward Lunge with Arm Drivers,2
34,Forward Lunge,1
35,Forward Lunge,2
36,Forward Stepping over Cones,1
37,Forward Stepping over Cones,2
38,Forward Stepping over Cones,3
39,Forward Stepping over Cones,4
40,Forward Stepping over Cones,5
41,Forward Stepping over Cones,6
42,Forward Stepping over Cones,7
43,Forward Stepping over Cones,8
44,Front Plank,1
45,Front Plank,2
46,Glute Activation Lunges,1
47,Glute Activation Lunges,2
48,Glute Activation Lunges,3
49,Glute Activation Lunges,4
50,Glute Activation Lunges,5
51,Glute Bridge Exercise,1
52,Glute Bridge Exercise,2
53,Glute Bridge,1
54,Glute Bridge,2
55,Half-kneeling Hay Baler,1
56,Half-kneeling Hay Baler,2
57,Hexagon Drill,1
58,Hexagon Drill,2
59,Hexagon Drill,3
60,Hexagon Drill,4
61,Hexagon Drill,5
62,High Plank T-spine Rotation,1
63,High Plank T-spine Rotation,2
64,High Plank T-spine Rotation,3
65,High Plank T-spine Rotation,4
66,Lateral Over Unders,1
67,Lateral Over Unders,10
68,Lateral Over Unders,11
69,Lateral Over Unders,2
70,Lateral Over Unders,3
71,Lateral Over Unders,4
72,Lateral Over Unders,5
73,Lateral Over Unders,6
74,Lateral Over Unders,7
75,Lateral Over Unders,8
76,Lateral Over Unders,9
77,Lunge with Elbow Instep,1
78,Lunge with Elbow Instep,2
79,Lunge with Elbow Instep,3
80,Lunge with Elbow Instep,4
81,Lunge with Elbow Instep,5
82,Lunge with Overhead Press,1
83,Lunge with Overhead Press,2
84,Lunge with Overhead Press,3
85,Lunge with Overhead Press,4
86,Medicine Ball Lunge to Chest Pass,1
87,Medicine Ball Lunge to Chest Pass,2
88,Medicine Ball Lunge to Chest Pass,3
89,Medicine Ball Lunge to Chest Pass,4
90,Medicine Ball Lunge to Chest Pass,5
91,Medicine Ball Push-ups,1
92,Medicine Ball Push-ups,2
93,Medicine Ball Push-ups,3
94,Medicine Ball Push-ups,4
95,Medicine Ball Push-ups,5
96,Partner Assisted Bodyweight Squats,1
97,Partner Assisted Bodyweight Squats,2
98,Partner Assisted Bodyweight Squats,3
99,Partner Tricep Extension,1
100,Partner Tricep Extension,2
101,Partner Tricep Extension,3
102,Partner Tricep Extension,4
103,Partner Tricep Extension,5
104,Plank-ups,1
105,Plank-ups,2
106,Plank-ups,3
107,Plank-ups,4
108,Plank-ups,5
109,Prone ABC's,1
110,Prone ABC's,2
111,Prone ABC's,3
112,Pull-over Crunch,1
113,Pull-over Crunch,2
114,Pull-over Crunch,3
115,Quadruped Bent-knee Hip Extensions,1
116,Quadruped Bent-knee Hip Extensions,2
117,Reverse Ab Crunch,1
118,Reverse Ab Crunch,2
119,Reverse Lunge with Rotation,1
120,Reverse Lunge with Rotation,2
121,Reverse Lunge with Rotation,3
122,Roll Out,1
123,Roll Out,2
124,Roll Out,3
125,Roll Out,4
126,Roll Out,5
127,Russian Twist,1
128,Russian Twist,2
129,Russian Twist,3
130,Russian Twist,4
131,Seated Crunch,1
132,Seated Crunch,2
133,Seated Medicine Ball Trunk Rotations,1
134,Seated Medicine Ball Trunk Rotations,2
135,Seated Medicine Ball Trunk Rotations,3
136,Seated Side-Straddle Stretch,1
137,Seated Side-Straddle Stretch,2
138,Seated Side-Straddle Stretch,3
139,Seated Straddle with Side Reaches,1
140,Seated Straddle with Side Reaches,2
141,Seated Straddle with Side Reaches,3
142,Seated Straddle with Side Reaches,4
143,Seated Straddle with Side Reaches,5
144,Side Plank (Modified),1
145,Side Plank (Modified),2
146,Side Plank - modified,1
147,Side Plank - modified,2
148,Side Plank with Straight Leg,1
149,Side Plank with Straight Leg,2
150,Side Plank,1
151,Side-lying Arm Rolls,1
152,Side-lying Arm Rolls,2
153,Side-lying Arm Rolls,3
154,Single Arm Plank,1
155,Single Arm Plank,2
156,Single Leg Stand,1
157,Single Leg Stand,2
158,Single-arm Medicine Ball Push-up,1
159,Single-arm Medicine Ball Push-up,2
160,Single-arm Medicine Ball Push-up,3
161,Single-arm Medicine Ball Push-up,4
162,Single-leg Stand with Reaches,1
163,Single-leg Stand with Reaches,2
164,Single-leg Stand with Reaches,3
165,Single-leg Stand with Reaches,4
