index,training_name,training_index
1,Bent Knee Push-up,1
2,Bent Knee Push-up,2
3,Bent Knee Push-up,3
4,Bent-over Row,1
5,Bent-over Row,2
6,Bicep Curl,1
7,Bicep Curl,2
8,Chest Press,1
9,Chest Press,2
10,Chin-ups,1
11,Chin-ups,2
12,Chin-ups,3
13,Chin-ups,4
14,Chin-ups,5
15,Close-grip Bench Press,1
16,Close-grip Bench Press,2
17,Downward-facing Dog,1
18,Downward-facing Dog,2
19,Downward-facing Dog,3
20,Downward-facing Dog,4
21,Hammer Curl,1
22,Hammer Curl,2
23,Hammer Curl,3
24,Hammer Curl,4
25,Inchworms,1
26,Inchworms,2
27,Inchworms,3
28,Inchworms,4
29,Inchworms,5
30,Lying Barbell Triceps Extensions,1
31,Lying Barbell Triceps Extensions,2
32,Lying Barbell Triceps Extensions,3
33,Lying Barbell Triceps Extensions,4
34,Lying Barbell Triceps Extensions,5
35,Overhead Triceps Stretch,1
36,Overhead Triceps Stretch,2
37,Partner Standing Row with Resistance Tubing,1
38,Partner Standing Row with Resistance Tubing,2
39,Partner Standing Row with Resistance Tubing,3
40,Partner Standing Row with Resistance Tubing,4
41,Partner Tricep Extension,1
42,Partner Tricep Extension,2
43,Partner Tricep Extension,3
44,Partner Tricep Extension,4
45,Partner Tricep Extension,5
46,Plank-ups,1
47,Plank-ups,2
48,Plank-ups,3
49,Plank-ups,4
50,Plank-ups,5
51,Power Push Down,1
52,Power Push Down,2
53,Pull-ups,1
54,Pull-ups,2
55,Pull-ups,3
56,Push-up with Single-leg Raise,1
57,Push-up with Single-leg Raise,2
58,Push-up with Single-leg Raise,3
59,Push-up with Staggered Hands,1
60,Push-up with Staggered Hands,2
61,Push-up,1
62,Push-up,2
63,Push-up,3
64,Reverse Bicep Curl,1
65,Reverse Bicep Curl,2
66,Rotational Uppercut,1
67,Rotational Uppercut,2
68,Seated Bent-Knee Biceps Stretch,1
69,Seated Bent-Knee Biceps Stretch,2
70,Seated Biceps Curl,1
71,Seated Biceps Curl,2
72,Seated Biceps Curl,3
73,Seated Biceps Curl,4
74,Seated Biceps Curl,5
75,Seated Close-Grip Chest Press,1
76,Seated Close-Grip Chest Press,2
77,Seated Close-Grip Chest Press,3
78,Seated High Back Row,1
79,Seated High Back Row,2
80,Seated High Back Rows,1
81,Seated High Back Rows,2
82,Seated High Back Rows,3
83,Seated Machine Close-Grip Shoulder Press,1
84,Seated Machine Close-Grip Shoulder Press,2
85,Seated Machine Close-Grip Shoulder Press,3
86,Seated Machine Close-Grip Shoulder Press,4
87,Seated Machine Close-Grip Shoulder Press,5
88,Seated Overhead Press,1
89,Seated Overhead Press,2
90,Seated Overhead Press,3
91,Seated Row,1
92,Seated Row,2
93,Seated Row,3
94,Seated Row,4
95,Seated Row,5
96,Standing Anti-rotation Press,1
97,Standing Anti-rotation Press,2
98,Standing Bicep Curl,1
99,Standing Bicep Curl,2
100,Standing Shoulder Extension,1
101,Standing Shoulder Extension,2
102,Standing Shoulder Extension,3
103,Standing Shoulder Press,1
104,Standing Shoulder Press,2
105,Tricep Extension,1
106,Tricep Extension,2
107,Tricep Pressdown Exercise,1
108,Tricep Pressdown Exercise,2
109,Triceps Extension,1
110,Triceps Extension,2
111,Triceps Extension,3
112,Triceps Kickback,1
113,Triceps Kickback,2
114,Triceps Pressdown,1
115,Triceps Pressdown,2
116,Triceps Pushdowns,1
117,Triceps Pushdowns,2
118,Triceps Pushdowns,3
119,TRX ¢ç Atomic Push-up,1
120,TRX ¢ç Atomic Push-up,2
121,TRX ¢ç Atomic Push-up,3
122,TRX ¢ç Atomic Push-up,4
123,TRX ¢ç Back Row,1
124,TRX ¢ç Back Row,2
125,TRX ¢ç Back Row,3
126,TRX ¢ç Biceps Curl,1
127,TRX ¢ç Biceps Curl,2
128,TRX ¢ç Biceps Curl,3
129,TRX ¢ç Biceps Curl,4
130,TRX ¢ç Chest Press,1
131,TRX ¢ç Chest Press,2
132,TRX ¢ç Overhead Triceps Extension,1
133,TRX ¢ç Overhead Triceps Extension,2
134,TRX ¢ç Overhead Triceps Extension,3
135,TRX ¢ç Single-arm Chest Press,1
136,TRX ¢ç Single-arm Chest Press,2
137,TRX ¢ç Single-arm Chest Press,3
138,TRX ¢ç Single-arm Row,1
139,TRX ¢ç Single-arm Row,2
140,TRX ¢ç Suspended Push-up,1
141,TRX ¢ç Suspended Push-up,2
142,Wrist Curl - Extension,1
143,Wrist Curl - Extension,2
144,Wrist Curl - Flexion,1
145,Wrist Curl - Flexion,2
146,Wrist Supination & Pronation Exercises,1
147,Wrist Supination & Pronation Exercises,2
148,Wrist Supination & Pronation Exercises,3
149,Wrist Supination & Pronation Exercises,4
150,Wrist Supination & Pronation Exercises,5
