index,training_name,training_index
1,Reverse Fly,1
2,Reverse Fly,2
3,Romanian Deadlift,1
4,Romanian Deadlift,2
5,Seated High Back Row,1
6,Seated High Back Row,2
7,Seated High Back Rows,1
8,Seated High Back Rows,2
9,Seated High Back Rows,3
10,Seated Lat Pulldown,1
11,Seated Lat Pulldown,2
12,Seated Lat Pulldown,3
13,Seated Lat Pulldown,4
14,Seated Lat Pulldown,5
15,Seated Row,1
16,Seated Row,2
17,Seated Row,3
18,Seated Row,4
19,Seated Row,5
20,Seated Side-Straddle Stretch,1
21,Seated Side-Straddle Stretch,2
22,Seated Side-Straddle Stretch,3
23,Single Arm Overhead Squat,1
24,Single Arm Overhead Squat,2
25,Single Arm Row,1
26,Single Arm Row,2
27,Single-arm Row,1
28,Single-arm Row,2
29,Single-arm Row,3
30,"Single-arm, Single-leg Romanian Dead Lift",1
31,"Single-arm, Single-leg Romanian Dead Lift",2
32,Spinal Twist with a Push-Pull Movement,1
33,Spinal Twist with a Push-Pull Movement,2
34,Spinal Twist with a Push-Pull Movement,3
35,Stability Ball Prone Walkout,1
36,Stability Ball Prone Walkout,2
37,Stability Ball Prone Walkout,3
38,Stability Ball Reverse Extensions,1
39,Stability Ball Reverse Extensions,2
40,Stability Ball Reverse Extensions,3
41,Stability Ball Shoulder Stabilization,1
42,Stability Ball Shoulder Stabilization,2
43,Stability Ball Shoulder Stabilization,3
44,Stability Ball Shoulder Stabilization,4
45,Stability Ball Shoulder Stabilization,5
46,Standing Row,1
47,Standing Row,2
48,Standing Shrug,1
49,Standing Shrug,2
50,Standing Triangle Straddle Bends,1
51,Standing Triangle Straddle Bends,2
52,Standing Triangle Straddle Bends,3
53,Straight Arm Pressdown,1
54,Straight Arm Pressdown,2
55,Supermans,1
56,Supermans,2
57,Supine Spinal Twist with Rib Grab and Progressions,1
58,Supine Spinal Twist with Rib Grab and Progressions,10
59,Supine Spinal Twist with Rib Grab and Progressions,2
60,Supine Spinal Twist with Rib Grab and Progressions,3
61,Supine Spinal Twist with Rib Grab and Progressions,4
62,Supine Spinal Twist with Rib Grab and Progressions,5
63,Supine Spinal Twist with Rib Grab and Progressions,6
64,Supine Spinal Twist with Rib Grab and Progressions,7
65,Supine Spinal Twist with Rib Grab and Progressions,8
66,Supine Spinal Twist with Rib Grab and Progressions,9
67,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,1
68,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,2
69,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,3
70,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,4
71,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,5
72,TRX ¢ç Assisted Cross-over Lunge with Arm Raise,6
73,TRX ¢ç Assisted Side Lunge with Arm Raise,1
74,TRX ¢ç Assisted Side Lunge with Arm Raise,2
75,TRX ¢ç Assisted Side Lunge with Arm Raise,3
76,TRX ¢ç Back Row,1
77,TRX ¢ç Back Row,2
78,TRX ¢ç Back Row,3
79,TRX ¢ç Hip Press,1
80,TRX ¢ç Hip Press,2
81,TRX ¢ç Side-straddle Golf Swings,1
82,TRX ¢ç Side-straddle Golf Swings,2
83,TRX ¢ç Side-straddle Golf Swings,3
84,TRX ¢ç Single-arm Row,1
85,TRX ¢ç Single-arm Row,2
86,Upward Facing Dog,1
87,Upward Facing Dog,2
88,Upward Facing Dog,3
