index,training_name,training_index
1,Agility Ladde,Agility Ladder
2,Alternate Leg Push-off,1
3,Alternate Leg Push-off,2
4,Alternate Leg Push-off,3
5,Back Squat,1
6,Back Squat,2
7,Barbell Jammers,1
8,Barbell Jammers,2
9,Barbell Jammers,3
10,Barbell Jammers,4
11,Barbell Jammers,5
12,Barbell Jammers,6
13,Bird-dog,1
14,Bird-dog,2
15,Bird-dog,3
16,Bodyweight Squat,1
17,Bodyweight Squat,2
18,Bodyweight Squat,3
19,Bodyweight Squat,4
20,BOSU¢ç Lateral Jumps,1
21,BOSU¢ç Lateral Jumps,2
22,BOSU¢ç Lateral Jumps,3
23,BOSU¢ç Lateral Jumps,4
24,BOSU¢ç Lateral Jumps,5
25,BOSU¢ç Squat Jumps,1
26,BOSU¢ç Squat Jumps,2
27,BOSU¢ç Squat Jumps,3
28,BOSU¢ç Squat Jumps,4
29,Box Jumps,1
30,Box Jumps,2
31,Box Jumps,3
32,Box Jumps,4
33,Box Jumps,5
34,Bulgarian Split Squat,1
35,Bulgarian Split Squat,2
36,Childs Pose,1
37,Contralateral Limb Raises,1
38,Contralateral Limb Raises,2
39,Contralateral Limb Raises,3
40,Cycled Split-Squat Jump,1
41,Cycled Split-Squat Jump,2
42,Cycled Split-Squat Jump,3
43,Cycled Split-Squat Jump,4
44,Dirty Dog,1
45,Dirty Dog,2
46,Downward-facing Dog,1
47,Downward-facing Dog,2
48,Downward-facing Dog,3
49,Downward-facing Dog,4
50,Elevated Glute Bridge,1
51,Elevated Glute Bridge,2
52,Forward Cone Jumps,1
53,Forward Cone Jumps,10
54,Forward Cone Jumps,11
55,Forward Cone Jumps,12
56,Forward Cone Jumps,2
57,Forward Cone Jumps,3
58,Forward Cone Jumps,4
59,Forward Cone Jumps,5
60,Forward Cone Jumps,6
61,Forward Cone Jumps,7
62,Forward Cone Jumps,8
63,Forward Cone Jumps,9
64,Forward Hurdle Run,1
65,Forward Hurdle Run,2
66,Forward Hurdle Run,3
67,Forward Linear Jumps,1
68,Forward Linear Jumps,2
69,Forward Linear Jumps,3
70,Forward Linear Jumps,4
71,Forward Linear Jumps,5
72,Forward Linear Jumps,6
73,Forward Lunge with Arm Drivers,1
74,Forward Lunge with Arm Drivers,2
75,Forward Lunge,1
76,Forward Lunge,2
77,Forward Stepping over Cones,1
78,Forward Stepping over Cones,2
79,Forward Stepping over Cones,3
80,Forward Stepping over Cones,4
81,Forward Stepping over Cones,5
82,Forward Stepping over Cones,6
